time,consent,gender,age,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,perfect_sum,wb
09/11/2022 06.56.40,Ja,Kvinde,21,Studerende,4,3,4,3,3,3,4,3,4,3,4,4,3,3,5,4,4,2,6,4,2,3,3,3,5,1,4,5,4,4,4,2,3,5,2,2,5,3,3,2,2,6,1,2,7,5,2,3,1,7,2,1,1,7,2,6,2,2,2,70,37,44,NA,48
09/11/2022 08.19.35,Ja,Kvinde,27,Arbejdende,3,2,3,4,2,3,3,3,3,2,4,4,3,3,6,2,3,2,7,6,2,1,2,2,7,5,4,5,7,5,5,6,3,6,2,1,7,5,4,5,4,6,3,2,6,5,2,3,3,6,4,2,5,5,4,5,4,3,4,78,47,61,NA,42
09/11/2022 08.32.40,Ja,Kvinde,25,Studerende,4,4,4,4,3,3,3,4,4,4,4,5,3,3,4,2,2,1,4,4,2,6,6,1,4,4,2,3,3,4,2,2,4,2,1,2,5,4,4,2,2,2,2,1,4,1,1,1,2,3,3,3,2,5,3,5,1,2,3,50,35,41,NA,52
09/11/2022 09.25.33,Ja,Mand,24,Studerende,3,3,4,2,2,3,4,3,2,2,4,4,3,3,3,2,7,2,1,1,3,7,3,2,5,1,1,1,1,2,1,2,2,5,1,4,6,2,1,5,3,2,2,2,1,6,2,1,1,6,4,2,2,3,4,5,1,2,1,49,40,32,NA,42
09/11/2022 15.53.33,Ja,Kvinde,25,Studerende,4,4,3,4,2,3,3,4,3,2,4,4,4,3,5,4,4,5,6,3,2,6,3,3,7,6,3,5,3,2,1,5,3,3,3,4,4,5,3,1,2,5,1,3,7,6,5,1,5,5,5,2,4,5,6,5,3,3,4,63,45,68,NA,47
09/11/2022 21.45.41,Ja,Mand,24,Arbejdende,4,4,2,3,3,4,4,3,3,4,5,2,2,3,7,6,5,2,5,7,5,6,3,6,6,3,5,7,5,4,6,6,4,6,4,3,6,5,6,5,4,6,2,3,6,6,4,3,5,7,5,2,5,7,5,7,4,2,2,89,59,70,NA,46
12/11/2022 14.43.13,Ja,Kvinde,27,Arbejdende,4,4,4,5,5,5,4,3,4,3,5,5,4,4,1,7,2,2,1,2,3,6,5,5,6,2,1,4,3,7,5,3,7,1,1,4,5,7,3,5,1,4,5,1,1,3,1,4,1,7,4,1,1,7,1,4,2,1,5,58,63,31,NA,59
12/11/2022 18.55.11,Ja,Mand,26,Studerende,4,4,2,4,3,4,3,3,5,3,4,5,5,4,6,1,1,1,6,6,1,7,3,7,5,5,5,6,1,7,3,2,6,2,1,1,2,6,1,3,1,6,4,1,7,7,2,1,1,7,1,1,2,5,4,6,5,3,6,70,51,44,NA,53
12/11/2022 20.20.04,Ja,Mand,24,Studerende,3,3,2,3,2,4,3,2,2,4,5,4,4,3,5,3,5,2,6,3,3,6,2,4,3,2,5,2,5,5,5,5,2,2,2,3,7,5,3,5,5,4,5,2,5,6,5,2,2,6,3,3,5,5,5,5,1,1,2,65,53,54,NA,44
15/11/2022 21.09.38,Ja,Kvinde,22,Studerende,5,5,4,5,4,4,4,4,5,4,5,5,4,5,6,2,6,2,3,3,7,7,2,3,6,4,4,4,4,7,5,7,6,5,1,3,7,7,4,2,2,6,2,1,7,7,2,3,3,7,5,2,4,7,2,7,5,3,6,82,62,54,NA,63
16/11/2022 12.55.08,Ja,Kvinde,23,Studerende,4,4,3,4,2,3,4,4,3,4,4,5,3,4,5,3,2,1,3,2,1,6,6,3,4,4,2,3,5,4,2,1,4,1,1,5,5,7,5,1,1,4,1,1,3,4,1,1,3,7,1,1,1,7,1,6,5,1,1,62,40,34,NA,51
